task,category
Invest in mutual funds,Finance
Go for a 35-minute swim,Fitness
Invite Pamela to brunch,Social
Schedule a doctor appointment,Health
Cook pancakes for breakfast,Cooking
Take medication at 14:37:57,Health
Invite Anthony to lunch,Social
Pick up groceries from SuperMart,Shopping
Research climate change,Other
Book bus tickets,Travel
Plan birthday party for Randall,Family
Study for math exam,Education
Help Jonathan with homework,Family
Invite Angela to dinner,Social
Listen to classical music,Entertainment
Spend time with John,Family
Listen to jazz playlist,Entertainment
Help Melanie with gardening,Family
Go for a 30-minute walk,Fitness
Plan vacation for John,Family
Order groceries online,Shopping
Take vitamins at 19:38:58,Health
Pay electricity bill,Finance
Take Christy to the vet,Pets
Meet William for coffee,Social
Try a new pasta recipe,Cooking
Invest in bonds,Finance
Plan trip to Lake Tahoe,Travel
Feed Jacqueline at 18:48:41,Pets
Update personal calendar,Personal
Pack suitcase for the trip,Travel
Update personal calendar,Personal
Update personal calendar,Personal
Help Jennifer with project,Family
Organize wardrobe,Personal
Help Matthew with resume,Family
Study for history exam,Education
Walk the dog in the park,Pets
Order kitchenware online,Shopping
Clean the living room,Home
Order books online,Shopping
Read chapter 6 of Biology textbook,Education
Schedule a dentist appointment,Health
Clean the bathroom,Home
Go for a 52-minute walk,Fitness
Take allergy medication at 15:04:54,Health
Complete English assignment,Education
Bake cookies for party,Cooking
Organize tools in the garage,Home
Go for a meditation session,Health
Cook omelette for breakfast,Cooking
Organize desk,Personal
Take prescription at 18:19:30,Health
Schedule a therapy appointment,Health
Walk the cat in the park,Pets
Order new shoes online,Shopping
Clean the kitchen,Home
Order stationery online,Shopping
Read chapter 17 of Physics textbook,Education
Submit project report,Work
Attend yoga class,Fitness
Email client about project update,Work
Call Sarah for birthday wishes,Personal
Order pet food online,Shopping
Schedule a therapy session,Health
Feed Ryan at 23:26:40,Pets
Pack clothes for the trip,Travel
Pick up groceries from GreenMart,Shopping
Do 20 push-up reps,Fitness
Take painkillers at 14:02:11,Health
Attend team meeting at 09:38:18,Work
Cook chicken curry for dinner,Cooking
Research AI trends,Other
Fix the leaky faucet,Home
Study for chemistry exam,Education
Watch documentary on Netflix,Entertainment
Pack toiletries for the trip,Travel
Spend time with Danielle,Family
Walk the rabbit in the park,Pets
Fix the broken shelf,Home
Cook salad for lunch,Cooking
Do 15 squat reps,Fitness
Call Jennifer for interview prep,Personal
Clean the bedroom,Home
Email manager about budget,Work
Take Blake to the vet,Pets
Try a new soup recipe,Cooking
Book train tickets,Travel
Email HR about payroll,Work
Take Douglas to the vet,Pets
Clean the attic,Home
Fix the squeaky door,Home
Pay credit card bill,Finance
Plan anniversary for James,Family
Research renewable energy,Other
Complete coding assignment,Education
Invest in stocks,Finance
Organize bookshelf,Home
Go for a morning walk,Health
Bake bread for neighbors,Cooking
Try a new smoothie recipe,Cooking
Listen to pop music,Entertainment
Clean the basement,Home
Take allergy pills at 06:48:10,Health
Book flight tickets,Travel
Bake muffins for guests,Cooking
Pay internet bill,Finance
Meet Shannon for jogging,Social
Complete art assignment,Education
Email IT about software issue,Work
Research mental health,Other
Order furniture online,Shopping
Clean the porch,Home
Do 10 plank reps,Fitness
Take Gary to the vet,Pets
Learn Python basics,Other
Update personal calendar,Personal
Listen to rock music,Entertainment
Listen to podcast,Entertainment
Pick up groceries from FreshMart,Shopping
Walk the hamster in the park,Pets
Call Ryan for lunch plans,Personal
Complete math assignment,Education
Take Jacqueline to the vet,Pets
Prepare slides for presentation,Work
Attend concert in New York,Social
Learn photography,Other
Cook stir-fry for lunch,Cooking
Invest in ETFs,Finance
Do 20 squat reps,Fitness
Invest in index funds,Finance
Pick up groceries from MegaMart,Shopping
Book flight to Paris,Travel
Plan dinner for Jacob,Family
Watch comedy show on Netflix,Entertainment
Plan budget for Heidi,Family
Cook lasagna for lunch,Cooking
Attend Zumba class,Fitness
Attend pilates class,Fitness
Plan surprise party for Katelyn,Family
Submit expense report,Work
Invite James to game night,Social
Read chapter 13 of Economics,Education
Plan weekend for Chad,Family
Do 15 push-up reps,Fitness
Take vitamins at 14:30:21,Health
Pick up groceries from QuickMart,Shopping
Organize garage tools,Home
Prepare slides for conference,Work
Cook fried rice for lunch,Cooking
Listen to hip-hop music,Entertainment
Buy fruits and vegetables,Shopping
Update personal calendar,Personal
Play board games with Christina,Entertainment
Organize pantry,Personal
Feed Colin at 15:23:57,Pets
Pick up groceries from OrganicMart,Shopping
Spend time with Patricia,Family
Fix the loose doorknob,Home
Try a new salad recipe,Cooking
Walk the turtle in the park,Pets
Clean the study room,Home
Plan gift for Troy,Family
Try a new cake recipe,Cooking
Do 25 squat reps,Fitness
Study for biology exam,Education
Help Matthew with coding,Family
Pay water bill,Finance
Book flight to Tokyo,Travel
Feed Joseph at 21:58:40,Pets
